crdc_id,year,fips,ncessch,leaid,race,sex,disability,lep,students_AP_exam_none,students_AP_pass_none,students_AP_exam_oneormore,students_AP_pass_oneormore,students_AP_exam_all,students_AP_pass_all
130129000507,2015,13,130129000507,1301290,99,99,99,99,,,,,,
130129000508,2015,13,130129000508,1301290,99,99,99,99,,,,,,
130129000509,2015,13,130129000509,1301290,99,99,99,99,,,,,,
130129000510,2015,13,130129000510,1301290,99,99,99,99,,,,,,
130129000511,2015,13,130129000511,1301290,99,99,99,99,,,,,,
130129000512,2015,13,130129000512,1301290,99,99,99,99,,,,,,
130129000513,2015,13,130129000513,1301290,99,99,99,99,73.0,87.0,1323.0,1238.0,,
130129000514,2015,13,130129000514,1301290,99,99,99,99,,,,,,
130129000515,2015,13,130129000515,1301290,99,99,99,99,,,,,,
130129000517,2015,13,130129000517,1301290,99,99,99,99,,,,,,
130129000518,2015,13,130129000518,1301290,99,99,99,99,,,,,,
130129000520,2015,13,130129000520,1301290,99,99,99,99,,,,,,
130129000521,2015,13,130129000521,1301290,99,99,99,99,122.0,284.0,319.0,28.0,,
130129000523,2015,13,130129000523,1301290,99,99,99,99,,,,,,
130129000525,2015,13,130129000525,1301290,99,99,99,99,116.0,178.0,694.0,508.0,,
130129000526,2015,13,130129000526,1301290,99,99,99,99,,,,,,
130129000527,2015,13,130129000527,1301290,99,99,99,99,,,,,,
130129000528,2015,13,130129000528,1301290,99,99,99,99,,,,,,
130129000529,2015,13,130129000529,1301290,99,99,99,99,134.0,68.0,427.0,352.0,,
130129000531,2015,13,130129000531,1301290,99,99,99,99,,,,,,
130129000532,2015,13,130129000532,1301290,99,99,99,99,,,,,,
130129000533,2015,13,130129000533,1301290,99,99,99,99,83.0,315.0,475.0,153.0,,
130129000534,2015,13,130129000534,1301290,99,99,99,99,,,,,,
130129000535,2015,13,130129000535,1301290,99,99,99,99,,,,,,
130129000536,2015,13,130129000536,1301290,99,99,99,99,,,,,,
130129000537,2015,13,130129000537,1301290,99,99,99,99,391.0,110.0,406.0,292.0,,
130129000538,2015,13,130129000538,1301290,99,99,99,99,,,,,,
130129000539,2015,13,130129000539,1301290,99,99,99,99,,,,,,
130129000540,2015,13,130129000540,1301290,99,99,99,99,,,,,,
130129000541,2015,13,130129000541,1301290,99,99,99,99,,,,,,
130129000543,2015,13,130129000543,1301290,99,99,99,99,,,,,,
130129000544,2015,13,130129000544,1301290,99,99,99,99,,,,,,
130129000545,2015,13,130129000545,1301290,99,99,99,99,152.0,132.0,404.0,256.0,,
130129000547,2015,13,130129000547,1301290,99,99,99,99,,,,,,
